Property_Type,BHK,Bathrooms,Balcony,Area_SqFt,Locality,City,Price_INR,Property_Age,Floor_Number,Furnished_Status,Metro_Distance,Hospital_Distance,School_Distance,Mall_Distance,Airport_Distance,Crime_Index,Infrastructure_Growth_Score
Super built-up  Area,2.0,2.0,1.0,1056.0,Electronic City Phase II,Bangalore,3907000.0,6,9,Fully Furnished,10.95,3.36,0.58,6.78,35.45,23,89
Plot  Area,4.0,5.0,3.0,2600.0,Chikka Tirupathi,Bangalore,12000000.0,19,2,Fully Furnished,3.95,3.96,2.58,8.45,36.55,18,97
Built-up  Area,3.0,2.0,3.0,1440.0,Uttarahalli,Bangalore,6200000.0,14,7,Semi-Furnished,11.13,2.42,1.35,7.68,31.45,24,86
Super built-up  Area,3.0,3.0,1.0,1521.0,Lingadheeranahalli,Bangalore,9500000.0,10,10,Fully Furnished,9.77,4.2,3.14,5.91,30.65,12,82
Super built-up  Area,2.0,2.0,1.0,1200.0,Kothanur,Bangalore,5100000.0,7,6,Unfurnished,4.33,1.89,1.73,9.55,26.79,21,86
Super built-up  Area,2.0,2.0,1.0,1170.0,Whitefield,Bangalore,3800000.0,6,6,Semi-Furnished,1.8,4.9,3.51,9.99,43.22,32,85
Super built-up  Area,4.0,4.0,2.0,2732.0,Old Airport Road,Bangalore,20400000.0,18,14,Unfurnished,9.02,4.17,1.58,6.31,36.12,12,91
Super built-up  Area,4.0,4.0,2.0,3300.0,Rajaji Nagar,Bangalore,60000000.0,10,7,Semi-Furnished,10.13,0.52,1.28,1.88,28.69,17,89
Super built-up  Area,3.0,3.0,1.0,1310.0,Marathahalli,Bangalore,6325000.0,10,6,Unfurnished,8.64,4.18,2.12,3.16,35.4,24,93
Plot  Area,6.0,6.0,2.0,1020.0,Gandhi Bazar,Bangalore,37000000.0,3,2,Fully Furnished,5.51,2.92,1.94,7.96,28.46,30,87
Super built-up  Area,3.0,2.0,2.0,1800.0,Whitefield,Bangalore,7000000.0,7,11,Unfurnished,2.84,3.11,0.41,4.84,26.54,34,83
Plot  Area,4.0,5.0,3.0,2785.0,Whitefield,Bangalore,29500000.0,2,5,Unfurnished,5.14,4.99,3.12,6.59,25.65,27,83
Super built-up  Area,2.0,2.0,1.0,1000.0,7th Phase JP Nagar,Bangalore,3800000.0,1,3,Semi-Furnished,4.32,3.73,1.69,1.34,42.14,30,85
Built-up  Area,2.0,2.0,2.0,1100.0,Gottigere,Bangalore,4000000.0,11,9,Unfurnished,9.09,1.09,1.94,9.9,39.71,17,89
Plot  Area,3.0,3.0,2.0,2250.0,Sarjapur,Bangalore,14800000.0,5,8,Fully Furnished,3.17,3.89,2.9,4.81,31.85,12,97
Super built-up  Area,2.0,2.0,2.0,1175.0,Mysore Road,Bangalore,7350000.0,1,10,Semi-Furnished,10.11,1.4,0.38,7.99,32.64,31,94
Super built-up  Area,3.0,3.0,2.0,1180.0,Bisuvanahalli,Bangalore,4800000.0,0,11,Semi-Furnished,7.93,4.71,1.16,7.74,37.52,14,80
Super built-up  Area,3.0,3.0,3.0,1540.0,Raja Rajeshwari Nagar,Bangalore,6000000.0,11,2,Unfurnished,6.57,1.69,1.04,5.29,44.43,32,89
Super built-up  Area,3.0,4.0,2.0,2770.0,Ramakrishnappa Layout,Bangalore,29000000.0,11,1,Semi-Furnished,5.28,2.58,2.2,8.36,25.15,27,97
Super built-up  Area,2.0,2.0,2.0,1100.0,Manayata Tech Park,Bangalore,4800000.0,16,4,Fully Furnished,6.83,4.16,3.45,4.0,35.43,18,96
Built-up  Area,1.0,1.0,1.0,600.0,Kengeri,Bangalore,1500000.0,9,4,Unfurnished,7.17,4.84,2.01,1.51,28.71,22,95
Super built-up  Area,3.0,3.0,1.0,1755.0,Binny Pete,Bangalore,12200000.0,15,12,Fully Furnished,3.99,1.21,1.37,4.38,40.25,17,84
Plot  Area,4.0,5.0,2.0,2800.0,Thanisandra,Bangalore,38000000.0,14,10,Unfurnished,11.88,0.81,0.59,6.29,34.09,18,90
Super built-up  Area,3.0,3.0,1.0,1767.0,Bellandur,Bangalore,10300000.0,14,11,Unfurnished,11.05,4.06,0.21,1.44,30.28,34,90
Super built-up  Area,1.0,1.0,0.0,510.0, Thanisandra,Bangalore,2525000.0,18,2,Semi-Furnished,5.6,4.38,1.27,7.07,42.24,17,88
Super built-up  Area,3.0,3.0,2.0,1250.0,Mangammanapalya,Bangalore,5600000.0,11,7,Semi-Furnished,4.17,3.21,1.96,9.66,41.57,17,87
Super built-up  Area,2.0,1.0,1.0,660.0,Electronic City,Bangalore,2310000.0,19,13,Semi-Furnished,4.72,1.27,1.56,3.02,38.66,25,95
Built-up  Area,3.0,3.0,2.0,1610.0,Whitefield,Bangalore,8100000.0,2,3,Unfurnished,11.79,1.21,1.94,1.44,30.47,18,83
Super built-up  Area,2.0,2.0,2.0,1151.0,Ramagondanahalli,Bangalore,4877000.0,4,7,Semi-Furnished,5.77,2.57,1.87,1.74,38.63,34,89
Super built-up  Area,3.0,2.0,1.0,1025.0,Electronic City,Bangalore,4700000.0,18,7,Fully Furnished,11.08,1.37,1.91,1.52,38.86,34,81
Super built-up  Area,4.0,4.0,0.0,2475.0,Yelahanka,Bangalore,18600000.0,6,1,Semi-Furnished,2.12,2.06,2.75,9.12,39.35,16,81
Super built-up  Area,3.0,2.0,1.0,1075.0,Bisuvanahalli,Bangalore,3500000.0,8,6,Fully Furnished,9.66,4.07,1.61,2.66,37.2,14,83
Super built-up  Area,3.0,2.0,2.0,1760.0,Hebbal,Bangalore,12300000.0,6,4,Semi-Furnished,9.5,0.98,3.32,3.78,33.24,15,97
Super built-up  Area,3.0,3.0,3.0,1693.0,Raja Rajeshwari Nagar,Bangalore,5739000.0,17,11,Unfurnished,8.34,1.87,3.24,9.35,30.26,29,92
Built-up  Area,3.0,3.0,2.0,1925.0,Kasturi Nagar,Bangalore,12500000.0,3,8,Semi-Furnished,2.77,2.28,1.08,1.64,38.46,28,90
Super built-up  Area,2.0,2.0,1.0,700.0,Kanakpura Road,Bangalore,3600000.0,13,8,Fully Furnished,11.8,1.52,0.63,6.49,37.48,12,97
Super built-up  Area,2.0,2.0,1.0,1070.0,Electronics City Phase 1,Bangalore,4550000.0,17,3,Fully Furnished,3.73,3.69,3.64,3.34,33.51,15,87
Super built-up  Area,3.0,3.0,2.0,1724.0,Kundalahalli,Bangalore,12500000.0,8,4,Semi-Furnished,8.95,2.61,0.85,9.44,39.12,26,82
Super built-up  Area,3.0,2.0,2.0,1290.0,Chikkalasandra,Bangalore,5612000.0,1,1,Fully Furnished,9.39,4.76,2.66,1.02,27.08,25,87
Built-up  Area,2.0,2.0,2.0,1143.0,Uttarahalli,Bangalore,4500000.0,19,10,Unfurnished,9.48,2.03,3.49,4.99,34.97,24,96
Built-up  Area,2.0,2.0,2.0,1296.0,Murugeshpalya,Bangalore,8100000.0,14,2,Semi-Furnished,10.17,4.66,0.22,9.43,33.56,15,85
Super built-up  Area,3.0,3.0,2.0,1254.0,Sarjapur  Road,Bangalore,3800000.0,6,7,Fully Furnished,11.89,3.06,1.21,6.57,35.33,21,80
Super built-up  Area,1.0,1.0,0.0,600.0,Ganga Nagar,Bangalore,3800000.0,11,14,Semi-Furnished,2.51,2.92,1.3,3.5,43.33,28,88
Plot  Area,1.0,1.0,0.0,660.0,Yelahanka,Bangalore,4800000.0,7,11,Semi-Furnished,6.46,1.56,2.82,7.4,43.97,33,82
Super built-up  Area,2.0,2.0,2.0,1330.74,Kanakpura Road,Bangalore,9179000.0,14,12,Semi-Furnished,11.74,4.76,2.65,6.72,41.08,13,94
Plot  Area,8.0,9.0,2.0,600.0,HSR Layout,Bangalore,20000000.0,2,7,Semi-Furnished,10.76,1.93,2.3,3.75,31.91,31,86
Super built-up  Area,2.0,2.0,0.0,970.0,Doddathoguru,Bangalore,3300000.0,13,13,Semi-Furnished,11.9,2.96,3.67,9.79,25.13,22,96
Super built-up  Area,2.0,2.0,1.0,1459.0,Whitefield,Bangalore,9482000.0,16,9,Unfurnished,7.62,4.73,3.95,8.93,38.2,17,97
Plot  Area,2.0,1.0,1.0,800.0,KR Puram,Bangalore,13000000.0,3,10,Semi-Furnished,8.56,4.33,0.46,7.56,27.53,29,80
Built-up  Area,2.0,2.0,1.0,869.0,Himagiri Meadows,Bangalore,3600000.0,17,9,Unfurnished,4.27,1.89,3.51,5.74,43.66,19,82
Super built-up  Area,2.0,2.0,1.0,1270.0,Adarsh Nagar,Bangalore,5000000.0,7,9,Semi-Furnished,6.31,4.12,1.01,3.35,44.8,23,83
Super built-up  Area,3.0,3.0,1.0,1670.0,Bhoganhalli,Bangalore,9900000.0,3,6,Fully Furnished,1.72,3.56,0.79,4.17,29.51,10,89
Built-up  Area,3.0,3.0,2.0,2010.0,Whitefield,Bangalore,9100000.0,1,8,Semi-Furnished,9.06,0.65,3.17,5.19,31.54,23,96
Super built-up  Area,2.0,2.0,2.0,1185.0,Lakshminarayana Pura,Bangalore,7500000.0,5,9,Semi-Furnished,11.22,2.72,2.61,1.1,40.62,18,89
Super built-up  Area,3.0,2.0,3.0,1600.0,Yelahanka,Bangalore,7500000.0,9,12,Fully Furnished,2.68,2.4,0.43,6.45,32.46,15,87
Super built-up  Area,2.0,2.0,2.0,1200.0,Begur Road,Bangalore,4400000.0,3,14,Unfurnished,6.27,3.47,1.02,1.48,44.73,33,87
Built-up  Area,4.0,3.0,2.0,3210.0,Devanahalli,Bangalore,19200000.0,17,7,Unfurnished,8.04,3.66,2.91,4.9,28.33,27,93
Super built-up  Area,2.0,2.0,2.0,1500.0,Ramakrishnappa Layout,Bangalore,18500000.0,11,4,Unfurnished,8.14,3.67,0.24,7.01,26.75,21,97
Plot  Area,6.0,4.0,1.0,1407.0,Murugeshpalya,Bangalore,15000000.0,1,14,Unfurnished,4.72,2.57,1.28,4.99,26.85,21,94
Super built-up  Area,2.0,2.0,2.0,840.0,Govindaraja Nagar Ward,Bangalore,4500000.0,9,4,Fully Furnished,1.71,4.76,1.91,4.12,32.9,34,89
Plot  Area,3.0,3.0,2.0,4395.0,Tharabanahalli,Bangalore,24000000.0,3,6,Unfurnished,10.82,0.82,3.67,3.04,26.37,18,81
Super built-up  Area,2.0,2.0,1.0,845.0,Ganga Nagar,Bangalore,5500000.0,13,14,Unfurnished,2.46,3.42,3.43,1.49,32.02,12,85
Plot  Area,4.0,5.0,3.0,5700.0,Whitefield,Bangalore,65000000.0,15,11,Unfurnished,3.37,2.48,1.02,3.9,36.59,15,83
Built-up  Area,2.0,2.0,2.0,1160.0,Varthur,Bangalore,4400000.0,14,4,Unfurnished,11.61,1.55,1.36,6.11,28.89,34,96
Built-up  Area,8.0,8.0,0.0,3000.0,Bommanahalli,Bangalore,14000000.0,7,11,Unfurnished,6.75,1.12,2.17,3.55,27.14,24,89
Super built-up  Area,2.0,2.0,1.0,1100.0,Doddathoguru,Bangalore,6200000.0,13,7,Semi-Furnished,10.68,2.58,1.86,7.46,30.24,26,95
Super built-up  Area,2.0,2.0,3.0,1140.0,Gunjur,Bangalore,4300000.0,7,8,Semi-Furnished,10.92,1.87,3.12,4.81,32.16,21,82
Super built-up  Area,2.0,2.0,1.0,1220.0,Marathahalli,Bangalore,5700000.0,15,8,Unfurnished,11.89,1.49,3.81,4.87,37.13,33,96
Plot  Area,8.0,7.0,0.0,1350.0,Devarachikkanahalli,Bangalore,8500000.0,12,14,Fully Furnished,1.93,0.66,2.56,3.76,27.8,10,96
Super built-up  Area,2.0,2.0,1.0,1005.0,Kanakpura Road,Bangalore,3668000.0,17,8,Fully Furnished,2.06,1.91,0.63,7.79,25.23,17,83
Plot  Area,3.0,3.0,2.0,500.0,Double Road,Bangalore,10000000.0,14,2,Semi-Furnished,3.5,4.69,1.88,4.1,32.97,30,94
Super built-up  Area,2.0,2.0,1.0,1358.0,Begur Road,Bangalore,8058000.0,12,14,Fully Furnished,8.39,2.92,2.28,3.97,41.63,23,90
Super built-up  Area,3.0,3.0,1.0,1569.0,Hegde Nagar,Bangalore,10100000.0,8,10,Semi-Furnished,4.25,1.59,3.83,8.12,30.9,34,95
Super built-up  Area,2.0,2.0,1.0,1240.0,Haralur Road,Bangalore,7000000.0,14,2,Unfurnished,6.7,4.89,1.51,4.3,38.03,32,95
Super built-up  Area,3.0,3.0,2.0,2089.0,Hennur Road,Bangalore,14000000.0,12,2,Unfurnished,9.76,3.43,2.74,1.04,26.51,28,92
Super built-up  Area,2.0,2.0,1.0,1206.0,Kothannur,Bangalore,4823000.0,0,2,Fully Furnished,3.45,2.78,0.24,5.35,39.74,34,89
Super built-up  Area,2.0,2.0,3.0,1150.0,Kalena Agrahara,Bangalore,4000000.0,6,4,Fully Furnished,4.5,4.7,1.86,2.13,30.76,24,83
Built-up  Area,3.0,3.0,3.0,2511.0,Cholanayakanahalli,Bangalore,20500000.0,8,5,Fully Furnished,9.14,4.01,0.35,9.78,29.95,24,80
Built-up  Area,2.0,1.0,0.0,460.0,Kaval Byrasandra,Bangalore,2200000.0,0,4,Unfurnished,1.58,2.9,1.1,9.48,28.77,33,86
Built-up  Area,6.0,6.0,3.0,4400.0,ISRO Layout,Bangalore,25000000.0,11,5,Unfurnished,9.45,0.53,1.98,9.07,42.31,21,97
Super built-up  Area,3.0,2.0,2.0,1660.0,Kodanda Reddy Layout,Bangalore,10500000.0,7,4,Fully Furnished,8.6,2.36,2.41,8.87,31.95,15,82
Built-up  Area,4.0,3.0,2.0,3203.5,Hennur Road,Bangalore,22450000.0,10,7,Fully Furnished,2.86,4.1,3.53,9.12,44.97,18,96
Super built-up  Area,2.0,2.0,2.0,1326.0,Yelahanka,Bangalore,7800000.0,18,10,Fully Furnished,4.06,1.78,0.9,7.42,41.64,20,87
Super built-up  Area,3.0,2.0,2.0,1325.0,Garudachar Palya,Bangalore,6080000.0,16,1,Fully Furnished,1.66,0.74,1.37,1.4,41.11,15,91
Super built-up  Area,3.0,5.0,2.0,1499.0,EPIP Zone,Bangalore,10200000.0,7,14,Semi-Furnished,7.6,3.24,2.32,9.13,33.93,26,94
Built-up  Area,6.0,7.0,2.0,3000.0,Hegde Nagar,Bangalore,21000000.0,2,13,Fully Furnished,5.67,4.55,1.01,2.38,44.87,18,80
Super built-up  Area,3.0,3.0,2.0,1665.0,Kanakpura Road,Bangalore,8800000.0,2,1,Fully Furnished,5.95,4.95,3.65,3.16,26.44,25,93
Super built-up  Area,2.0,2.0,2.0,708.0,Dasanapura,Bangalore,3700000.0,0,2,Semi-Furnished,2.58,1.02,3.52,8.55,41.74,30,87
Super built-up  Area,2.0,2.0,2.0,1060.0,Kasavanhalli,Bangalore,5806000.0,4,13,Semi-Furnished,5.2,4.83,3.57,6.63,37.01,17,90
Plot  Area,6.0,6.0,3.0,710.0,Rajaji Nagar,Bangalore,16000000.0,9,1,Semi-Furnished,11.15,2.23,2.94,4.66,43.4,23,81
Built-up  Area,2.0,2.0,2.0,1000.0,Sanjay nagar,Bangalore,7000000.0,6,12,Semi-Furnished,2.18,3.86,3.99,8.34,26.19,18,84
Super built-up  Area,2.0,2.0,1.0,1000.0,Electronic City,Bangalore,2888000.0,8,10,Fully Furnished,11.74,1.42,3.34,4.11,34.27,21,82
Super built-up  Area,3.0,2.0,2.0,1450.0, Mysore Highway,Bangalore,7000000.0,6,12,Unfurnished,10.4,3.53,2.08,4.73,42.9,27,89
Plot  Area,4.0,4.0,2.0,1200.0,ISRO Layout,Bangalore,15500000.0,8,12,Unfurnished,3.63,3.52,3.01,1.14,42.69,15,83
Super built-up  Area,2.0,2.0,3.0,1296.0,Thanisandra,Bangalore,8000000.0,7,10,Unfurnished,8.91,1.77,0.56,7.79,30.55,17,83
Super built-up  Area,3.0,3.0,2.0,1540.0,Domlur,Bangalore,9000000.0,11,13,Unfurnished,2.45,2.5,3.69,2.59,35.26,17,92
Plot  Area,4.0,4.0,1.0,2894.0,Kengeri,Bangalore,24500000.0,1,14,Unfurnished,3.18,2.37,3.94,2.63,36.59,23,83
Super built-up  Area,3.0,2.0,1.0,1330.0,Sarjapura - Attibele Road,Bangalore,4800000.0,0,11,Unfurnished,6.62,3.45,3.46,1.5,43.79,11,89
Built-up  Area,2.0,2.0,1.0,1200.0,Devasthanagalu,Bangalore,6500000.0,15,3,Semi-Furnished,5.7,4.9,0.34,6.62,38.4,34,97
Built-up  Area,3.0,3.0,1.0,1200.0,T Dasarahalli,Bangalore,9000000.0,4,6,Semi-Furnished,10.06,3.07,0.83,3.64,43.66,16,89
Super built-up  Area,3.0,3.0,3.0,2502.0,Yeshwanthpur,Bangalore,13800000.0,2,10,Unfurnished,11.36,2.95,0.6,3.29,27.21,25,96
Built-up  Area,2.0,1.0,1.0,650.0,Chandapura,Bangalore,1700000.0,11,11,Fully Furnished,11.4,2.02,1.82,3.92,36.09,34,94
Plot  Area,3.0,2.0,1.0,2400.0,Kothanur,Bangalore,15000000.0,7,6,Fully Furnished,3.04,3.55,0.34,6.1,28.82,14,91
Super built-up  Area,2.0,2.0,2.0,1007.0,Green View Layout,Bangalore,4300000.0,2,1,Unfurnished,8.71,4.31,3.78,9.57,29.17,17,80
Super built-up  Area,2.0,2.0,2.0,1200.0,Shantiniketan Layout,Bangalore,5000000.0,0,6,Fully Furnished,7.49,0.94,2.42,9.12,30.94,33,87
Super built-up  Area,2.0,2.0,2.0,966.0,Peenya,Bangalore,4990000.0,2,5,Semi-Furnished,5.39,1.59,2.36,1.25,25.79,28,86
Built-up  Area,3.0,2.0,1.0,1630.0,Nagarbhavi,Bangalore,9800000.0,4,7,Semi-Furnished,11.95,3.17,1.89,3.74,31.13,10,82
Built-up  Area,3.0,3.0,2.0,1640.0,Rajaji Nagar,Bangalore,22900000.0,14,6,Fully Furnished,6.29,0.88,1.48,4.52,41.46,20,90
Built-up  Area,2.0,2.0,2.0,782.0,Jalahalli West,Bangalore,5568000.0,13,12,Unfurnished,8.49,2.06,2.04,1.05,40.51,11,92
Super built-up  Area,2.0,2.0,2.0,1260.0,Devanahalli,Bangalore,6678000.0,2,12,Semi-Furnished,6.78,2.66,2.17,9.42,26.96,28,89
Super built-up  Area,3.0,3.0,3.0,1800.0,Lakshmiamma Garden,Bangalore,12000000.0,0,7,Fully Furnished,2.58,4.13,2.84,5.4,31.64,33,84
Super built-up  Area,3.0,2.0,2.0,1413.0,Byatarayanapura,Bangalore,7500000.0,4,2,Fully Furnished,2.98,2.87,0.83,6.22,43.9,15,93
Super built-up  Area,2.0,2.0,1.0,1116.0,Whitefield,Bangalore,5191000.0,13,12,Semi-Furnished,9.38,2.21,2.39,2.58,28.75,22,89
Super built-up  Area,3.0,2.0,1.0,1530.0,Electronic City,Bangalore,4590000.0,6,1,Semi-Furnished,9.92,1.16,2.4,3.97,35.17,17,83
Built-up  Area,4.0,4.0,1.0,3700.0,Ramamurthy Nagar,Bangalore,22500000.0,8,14,Unfurnished,5.32,1.41,1.59,7.62,37.96,26,94
Built-up  Area,3.0,3.0,2.0,2497.0,Sarjapur  Road,Bangalore,14000000.0,14,7,Fully Furnished,2.2,2.83,3.86,1.08,28.74,19,87
Super built-up  Area,3.0,2.0,3.0,1540.0,Kengeri,Bangalore,6400000.0,14,9,Unfurnished,11.55,4.12,3.03,2.35,31.69,24,95
Super built-up  Area,3.0,3.0,1.0,1436.0,Thanisandra,Bangalore,7475000.0,9,2,Semi-Furnished,6.72,2.3,2.9,1.38,43.32,24,96
Super built-up  Area,2.0,2.0,2.0,1100.0,Malleshwaram,Bangalore,7500000.0,12,12,Fully Furnished,2.91,1.53,3.52,5.0,37.5,14,89
Plot  Area,2.0,3.0,3.0,276.0,Hennur Road,Bangalore,2300000.0,18,7,Semi-Furnished,3.58,2.21,1.49,2.59,44.15,12,92
Super built-up  Area,3.0,3.0,2.0,1427.0,Thanisandra,Bangalore,12000000.0,6,3,Semi-Furnished,1.98,0.75,1.01,5.42,32.89,34,92
Super built-up  Area,3.0,3.0,1.0,2061.0,Akshaya Nagar,Bangalore,20000000.0,16,6,Semi-Furnished,8.95,2.89,1.87,7.47,27.55,14,84
Super built-up  Area,4.0,4.0,0.0,5611.5,Hebbal,Bangalore,47700000.0,19,3,Unfurnished,8.89,0.83,2.47,3.52,29.19,23,97
Built-up  Area,4.0,4.0,2.0,2650.0,Shampura,Bangalore,15000000.0,3,13,Semi-Furnished,7.83,4.32,2.32,4.41,36.11,29,83
Super built-up  Area,3.0,2.0,2.0,1282.0,Devanahalli,Bangalore,6852000.0,4,10,Unfurnished,7.24,3.93,1.04,1.74,42.76,29,87
Built-up  Area,2.0,2.0,1.0,1050.0,Kadugodi,Bangalore,3400000.0,6,13,Semi-Furnished,5.51,3.66,1.22,7.36,29.24,21,94
Built-up  Area,3.0,3.0,2.0,1600.0,LB Shastri Nagar,Bangalore,6500000.0,12,11,Semi-Furnished,11.48,4.75,3.72,5.01,37.6,22,96
Super built-up  Area,2.0,2.0,1.0,945.0,Vajarahalli,Bangalore,5400000.0,14,11,Fully Furnished,9.91,4.5,0.51,5.83,30.11,14,89
